BENEFIT_ID ,BENEFIR_DESC, DISCOUNT_AMT, DISCOUNT_START_DT,DISCOUNT_END_DT DATE
1000,chase freedom cash back: (United States),34,01-01-2004,01-02-2004
1000,chase freedom cash back: (United States),26,01-02-2004,01-03-2004
1000,chase freedom cash back: (United States),21,01-03-2004,01-04-2004
1000,chase freedom cash back: (United States),22,01-04-2004,01-05-2004
1000,chase freedom cash back: (United States),29,01-05-2004,01-06-2004
1000,chase freedom cash back: (United States),38,01-06-2004,01-07-2004
1000,chase freedom cash back: (United States),39,01-07-2004,01-08-2004
1000,chase freedom cash back: (United States),48,01-08-2004,01-09-2004
1000,chase freedom cash back: (United States),36,01-09-2004,01-10-2004
1000,chase freedom cash back: (United States),28,01-10-2004,01-11-2004
1000,chase freedom cash back: (United States),33,01-11-2004,01-12-2004
1000,chase freedom cash back: (United States),37,01-12-2004,01-01-2005
1000,chase freedom cash back: (United States),42,01-01-2005,01-02-2005
1000,chase freedom cash back: (United States),32,01-02-2005,01-03-2005
1000,chase freedom cash back: (United States),34,01-03-2005,01-04-2005
1000,chase freedom cash back: (United States),36,01-04-2005,01-05-2005
1000,chase freedom cash back: (United States),30,01-05-2005,01-06-2005
1000,chase freedom cash back: (United States),41,01-06-2005,01-07-2005
1000,chase freedom cash back: (United States),41,01-07-2005,01-08-2005
1000,chase freedom cash back: (United States),47,01-08-2005,01-09-2005
1000,chase freedom cash back: (United States),35,01-09-2005,01-10-2005
1000,chase freedom cash back: (United States),35,01-10-2005,01-11-2005
1000,chase freedom cash back: (United States),34,01-11-2005,01-12-2005
1000,chase freedom cash back: (United States),26,01-12-2005,01-01-2006
1000,chase freedom cash back: (United States),39,01-01-2006,01-02-2006
1000,chase freedom cash back: (United States),32,01-02-2006,01-03-2006
1000,chase freedom cash back: (United States),31,01-03-2006,01-04-2006
1000,chase freedom cash back: (United States),28,01-04-2006,01-05-2006
1000,chase freedom cash back: (United States),35,01-05-2006,01-06-2006
1000,chase freedom cash back: (United States),40,01-06-2006,01-07-2006
1000,chase freedom cash back: (United States),39,01-07-2006,01-08-2006
1000,chase freedom cash back: (United States),43,01-08-2006,01-09-2006
1000,chase freedom cash back: (United States),44,01-09-2006,01-10-2006
1000,chase freedom cash back: (United States),36,01-10-2006,01-11-2006
1000,chase freedom cash back: (United States),35,01-11-2006,01-12-2006
1000,chase freedom cash back: (United States),34,01-12-2006,01-01-2007
1000,chase freedom cash back: (United States),37,01-01-2007,01-02-2007
1000,chase freedom cash back: (United States),33,01-02-2007,01-03-2007
1000,chase freedom cash back: (United States),36,01-03-2007,01-04-2007
1000,chase freedom cash back: (United States),29,01-04-2007,01-05-2007
1000,chase freedom cash back: (United States),30,01-05-2007,01-06-2007
1000,chase freedom cash back: (United States),31,01-06-2007,01-07-2007
1000,chase freedom cash back: (United States),38,01-07-2007,01-08-2007
1000,chase freedom cash back: (United States),34,01-08-2007,01-09-2007
1000,chase freedom cash back: (United States),33,01-09-2007,01-10-2007
1000,chase freedom cash back: (United States),31,01-10-2007,01-11-2007
1000,chase freedom cash back: (United States),33,01-11-2007,01-12-2007
1000,chase freedom cash back: (United States),32,01-12-2007,01-01-2008
1000,chase freedom cash back: (United States),31,01-01-2008,01-02-2008
1000,chase freedom cash back: (United States),27,01-02-2008,01-03-2008
1000,chase freedom cash back: (United States),31,01-03-2008,01-04-2008
1000,chase freedom cash back: (United States),30,01-04-2008,01-05-2008
1000,chase freedom cash back: (United States),33,01-05-2008,01-06-2008
1000,chase freedom cash back: (United States),39,01-06-2008,01-07-2008
1000,chase freedom cash back: (United States),39,01-07-2008,01-08-2008
1000,chase freedom cash back: (United States),43,01-08-2008,01-09-2008
1000,chase freedom cash back: (United States),37,01-09-2008,01-10-2008
1000,chase freedom cash back: (United States),35,01-10-2008,01-11-2008
1000,chase freedom cash back: (United States),49,01-11-2008,01-12-2008
1000,chase freedom cash back: (United States),65,01-12-2008,01-01-2009
1000,chase freedom cash back: (United States),43,01-01-2009,01-02-2009
1000,chase freedom cash back: (United States),38,01-02-2009,01-03-2009
1000,chase freedom cash back: (United States),35,01-03-2009,01-04-2009
1000,chase freedom cash back: (United States),36,01-04-2009,01-05-2009
1000,chase freedom cash back: (United States),42,01-05-2009,01-06-2009
1000,chase freedom cash back: (United States),38,01-06-2009,01-07-2009
1000,chase freedom cash back: (United States),38,01-07-2009,01-08-2009
1000,chase freedom cash back: (United States),50,01-08-2009,01-09-2009
1000,chase freedom cash back: (United States),39,01-09-2009,01-10-2009
1000,chase freedom cash back: (United States),33,01-10-2009,01-11-2009
1000,chase freedom cash back: (United States),44,01-11-2009,01-12-2009
1000,chase freedom cash back: (United States),46,01-12-2009,01-01-2010
1000,chase freedom cash back: (United States),36,01-01-2010,01-02-2010
1000,chase freedom cash back: (United States),37,01-02-2010,01-03-2010
1000,chase freedom cash back: (United States),35,01-03-2010,01-04-2010
1000,chase freedom cash back: (United States),37,01-04-2010,01-05-2010
1000,chase freedom cash back: (United States),36,01-05-2010,01-06-2010
1000,chase freedom cash back: (United States),39,01-06-2010,01-07-2010
1000,chase freedom cash back: (United States),38,01-07-2010,01-08-2010
1000,chase freedom cash back: (United States),37,01-08-2010,01-09-2010
1000,chase freedom cash back: (United States),33,01-09-2010,01-10-2010
1000,chase freedom cash back: (United States),29,01-10-2010,01-11-2010
1000,chase freedom cash back: (United States),32,01-11-2010,01-12-2010
1000,chase freedom cash back: (United States),35,01-12-2010,01-01-2011
1000,chase freedom cash back: (United States),41,01-01-2011,01-02-2011
1000,chase freedom cash back: (United States),38,01-02-2011,01-03-2011
1000,chase freedom cash back: (United States),40,01-03-2011,01-04-2011
1000,chase freedom cash back: (United States),40,01-04-2011,01-05-2011
1000,chase freedom cash back: (United States),37,01-05-2011,01-06-2011
1000,chase freedom cash back: (United States),43,01-06-2011,01-07-2011
1000,chase freedom cash back: (United States),49,01-07-2011,01-08-2011
1000,chase freedom cash back: (United States),41,01-08-2011,01-09-2011
1000,chase freedom cash back: (United States),49,01-09-2011,01-10-2011
1000,chase freedom cash back: (United States),52,01-10-2011,01-11-2011
1000,chase freedom cash back: (United States),54,01-11-2011,01-12-2011
1000,chase freedom cash back: (United States),51,01-12-2011,01-01-2012
1000,chase freedom cash back: (United States),57,01-01-2012,01-02-2012
1000,chase freedom cash back: (United States),49,01-02-2012,01-03-2012
1000,chase freedom cash back: (United States),47,01-03-2012,01-04-2012
1000,chase freedom cash back: (United States),50,01-04-2012,01-05-2012
1000,chase freedom cash back: (United States),44,01-05-2012,01-06-2012
1000,chase freedom cash back: (United States),45,01-06-2012,01-07-2012
1000,chase freedom cash back: (United States),51,01-07-2012,01-08-2012
1000,chase freedom cash back: (United States),48,01-08-2012,01-09-2012
1000,chase freedom cash back: (United States),49,01-09-2012,01-10-2012
1000,chase freedom cash back: (United States),47,01-10-2012,01-11-2012
1000,chase freedom cash back: (United States),54,01-11-2012,01-12-2012
1000,chase freedom cash back: (United States),55,01-12-2012,01-01-2013
1000,chase freedom cash back: (United States),56,01-01-2013,01-02-2013
1000,chase freedom cash back: (United States),47,01-02-2013,01-03-2013
1000,chase freedom cash back: (United States),47,01-03-2013,01-04-2013
1000,chase freedom cash back: (United States),48,01-04-2013,01-05-2013
1000,chase freedom cash back: (United States),43,01-05-2013,01-06-2013
1000,chase freedom cash back: (United States),45,01-06-2013,01-07-2013
1000,chase freedom cash back: (United States),48,01-07-2013,01-08-2013
1000,chase freedom cash back: (United States),47,01-08-2013,01-09-2013
1000,chase freedom cash back: (United States),45,01-09-2013,01-10-2013
1000,chase freedom cash back: (United States),50,01-10-2013,01-11-2013
1000,chase freedom cash back: (United States),57,01-11-2013,01-12-2013
1000,chase freedom cash back: (United States),62,01-12-2013,01-01-2014
1000,chase freedom cash back: (United States),63,01-01-2014,01-02-2014
1000,chase freedom cash back: (United States),54,01-02-2014,01-03-2014
1000,chase freedom cash back: (United States),51,01-03-2014,01-04-2014
1000,chase freedom cash back: (United States),52,01-04-2014,01-05-2014
1000,chase freedom cash back: (United States),53,01-05-2014,01-06-2014
1000,chase freedom cash back: (United States),58,01-06-2014,01-07-2014
1000,chase freedom cash back: (United States),61,01-07-2014,01-08-2014
1000,chase freedom cash back: (United States),60,01-08-2014,01-09-2014
1000,chase freedom cash back: (United States),59,01-09-2014,01-10-2014
1000,chase freedom cash back: (United States),61,01-10-2014,01-11-2014
1000,chase freedom cash back: (United States),70,01-11-2014,01-12-2014
1000,chase freedom cash back: (United States),68,01-12-2014,01-01-2015
1000,chase freedom cash back: (United States),70,01-01-2015,01-02-2015
1000,chase freedom cash back: (United States),57,01-02-2015,01-03-2015
1000,chase freedom cash back: (United States),56,01-03-2015,01-04-2015
1000,chase freedom cash back: (United States),60,01-04-2015,01-05-2015
1000,chase freedom cash back: (United States),59,01-05-2015,01-06-2015
1000,chase freedom cash back: (United States),71,01-06-2015,01-07-2015
1000,chase freedom cash back: (United States),73,01-07-2015,01-08-2015
1000,chase freedom cash back: (United States),65,01-08-2015,01-09-2015
1000,chase freedom cash back: (United States),69,01-09-2015,01-10-2015
1000,chase freedom cash back: (United States),68,01-10-2015,01-11-2015
1000,chase freedom cash back: (United States),86,01-11-2015,01-12-2015
1000,chase freedom cash back: (United States),83,01-12-2015,01-01-2016
1000,chase freedom cash back: (United States),67,01-01-2016,01-02-2016
1000,chase freedom cash back: (United States),59,01-02-2016,01-03-2016
1000,chase freedom cash back: (United States),65,01-03-2016,01-04-2016
1000,chase freedom cash back: (United States),65,01-04-2016,01-05-2016
1000,chase freedom cash back: (United States),67,01-05-2016,01-06-2016
1000,chase freedom cash back: (United States),73,01-06-2016,01-07-2016
1000,chase freedom cash back: (United States),78,01-07-2016,01-08-2016
1000,chase freedom cash back: (United States),66,01-08-2016,01-09-2016
1000,chase freedom cash back: (United States),65,01-09-2016,01-10-2016
1000,chase freedom cash back: (United States),67,01-10-2016,01-11-2016
1000,chase freedom cash back: (United States),74,01-11-2016,01-12-2016
1000,chase freedom cash back: (United States),82,01-12-2016,01-01-2017
1000,chase freedom cash back: (United States),82,01-01-2017,01-02-2017
1000,chase freedom cash back: (United States),70,01-02-2017,01-03-2017
1000,chase freedom cash back: (United States),73,01-03-2017,01-04-2017
1000,chase freedom cash back: (United States),75,01-04-2017,01-05-2017
1000,chase freedom cash back: (United States),72,01-05-2017,01-06-2017
1000,chase freedom cash back: (United States),81,01-06-2017,01-07-2017
1000,chase freedom cash back: (United States),85,01-07-2017,01-08-2017
1000,chase freedom cash back: (United States),76,01-08-2017,01-09-2017
1000,chase freedom cash back: (United States),77,01-09-2017,01-10-2017
1000,chase freedom cash back: (United States),83,01-10-2017,01-11-2017
1000,chase freedom cash back: (United States),96,01-11-2017,01-12-2017
1000,chase freedom cash back: (United States),89,01-12-2017,01-01-2018
1000,chase freedom cash back: (United States),91,01-01-2018,01-02-2018
1000,chase freedom cash back: (United States),80,01-02-2018,01-03-2018
1000,chase freedom cash back: (United States),82,01-03-2018,01-04-2018
1000,chase freedom cash back: (United States),82,01-04-2018,01-05-2018
1000,chase freedom cash back: (United States),78,01-05-2018,01-06-2018
1000,chase freedom cash back: (United States),86,01-06-2018,01-07-2018
1000,chase freedom cash back: (United States),86,01-07-2018,01-08-2018
1000,chase freedom cash back: (United States),84,01-08-2018,01-09-2018
1000,chase freedom cash back: (United States),81,01-09-2018,01-10-2018
1000,chase freedom cash back: (United States),79,01-10-2018,01-11-2018
1000,chase freedom cash back: (United States),100,01-11-2018,01-12-2018
1000,chase freedom cash back: (United States),97,01-12-2018,01-01-2019
1000,chase freedom cash back: (United States),99,01-01-2019,01-02-2019
1000,chase freedom cash back: (United States),89,01-02-2019,01-03-2019
1000,chase freedom cash back: (United States),87,01-03-2019,01-04-2019
1000,chase freedom cash back: (United States),87,01-04-2019,01-05-2019
1000,chase freedom cash back: (United States),85,01-05-2019,01-06-2019
1000,chase freedom cash back: (United States),89,01-06-2019,01-07-2019
